,Make,Model,Year,Distance,Engine_capacity(cm3),Price(euro),Vehicle_age,Distance_per_age,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,Distance_per_year,Vehicle_age_sq,Log_Distance,Log_Vehicle_age,Engine_sq,Log_Engine,Age_x_Distance,Age_x_Engine,Distance_x_Engine,Distance_per_engine,Engine_per_age
0,0.10084222707985084,0.011154686897261155,2011,195000,1800,7750,15,13000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12187.5,225,12.180759965737863,2.772588722239781,3240000,7.496097345175956,2925000,27000,351000000,108.27318156579678,112.5
1,0.08303330333033303,0.012504821910762505,2014,135000,1500,8550,12,11250,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,10384.615384615385,144,11.813037464800539,2.5649493574615367,2250000,7.313886831633462,1620000,18000,202500000,89.9400399733511,115.38461538461539
2,0.11887617333161887,0.02725986884402726,1998,250184,1400,2200,28,8935,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8627.034482758621,784,12.429955923179383,3.367295829986474,1960000,7.244941546337007,7005152,39200,350257600,178.5753033547466,48.275862068965516
3,0.08303330333033303,0.003825382538253825,2012,110000,1500,6550,14,7857,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7333.333333333333,196,11.608244735642321,2.70805020110221,2250000,7.313886831633462,1540000,21000,165000000,73.28447701532312,100.0
4,0.06882473961681883,0.030442329947280442,2006,200000,1600,4100,20,10000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9523.809523809523,400,12.206077645517674,3.044522437723423,2560000,7.3783837129967145,4000000,32000,320000000,124.92192379762648,76.19047619047619
5,0.07191076250482191,0.009258068664009259,2000,300000,2200,3490,26,11538,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,11111.111111111111,676,12.611541086966115,3.295836866004329,4840000,7.696667081526462,7800000,57200,660000000,136.30168105406634,81.48148148148148
6,0.11887617333161887,0.032306802108782305,2010,290000,1390,5600,16,18125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,17058.823529411766,256,12.577639650232573,2.833213344056216,1932100,7.237778191923443,4640000,22240,403100000,208.48310567936736,81.76470588235294
7,0.11887617333161887,0.0023466632377523466,2010,220000,2400,17000,16,13750,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,12941.176470588236,256,12.301387370778713,2.833213344056216,5760000,7.783640596221253,3520000,38400,528000000,91.62848812994585,141.1764705882353
8,0.07191076250482191,0.003278899318503279,1991,240000,2300,2850,35,6857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6666.666666666667,1225,12.388398368982115,3.58351893845611,5290000,7.741099090035366,8400000,80500,552000000,104.30247718383312,63.888888888888886
9,0.05210878230680211,0.02729201491577729,2004,325000,2000,3400,22,14773,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,14130.434782608696,484,12.691583538230217,3.1354942159291497,4000000,7.601402334583733,7150000,44000,650000000,162.41879060469765,86.95652173913044
10,0.07191076250482191,0.029895846727529894,2010,210000,2200,11400,16,13125,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,12352.941176470587,256,12.25486757159303,2.833213344056216,4840000,7.696667081526462,3360000,35200,462000000,95.41117673784643,129.41176470588235
12,0.021087823068021087,0.0025716857400025716,2005,222111,1300,1550,21,10577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10095.954545454546,441,12.31093703813931,3.091042453358316,1690000,7.170888478512505,4664331,27300,288744300,170.72328977709455,59.09090909090909
14,0.11887617333161887,0.02725986884402726,2007,238371,1400,5000,19,12546,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11918.55,361,12.38158775761115,2.995732273553991,1960000,7.244941546337007,4529049,26600,333719400,170.14346895074945,70.0
15,0.11887617333161887,0.0015751575157515751,2010,150000,1200,5500,16,9375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8823.529411764706,256,11.918397239722838,2.833213344056216,1440000,7.0909098220799835,2400000,19200,180000000,124.89592006661115,70.58823529411765
16,0.016137328018516136,0.004178989327504179,2012,180000,2400,15900,14,12857,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12000.0,196,12.100717685412471,2.70805020110221,5760000,7.783640596221253,2520000,33600,432000000,74.96876301541025,160.0
17,0.04323646650379324,0.017744631606017743,2011,251000,1500,8300,15,16733,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15687.5,225,12.433212202169729,2.772588722239781,2250000,7.313886831633462,3765000,22500,376500000,167.22185209860092,93.75
18,0.038253825382538256,0.0018644721615018644,2005,383000,1500,3200,21,18238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,17409.090909090908,441,12.855792879125431,3.091042453358316,2250000,7.313886831633462,8043000,31500,574500000,255.16322451698866,68.18181818181819
19,0.04162916291629163,0.0016394496592516395,2009,248000,2000,9299,17,14588,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13777.777777777777,289,12.421188057397055,2.8903717578961645,4000000,7.601402334583733,4216000,34000,496000000,123.93803098450775,111.11111111111111
20,0.07191076250482191,0.029895846727529894,2004,315000,1800,6900,22,14318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,13695.652173913044,484,12.660331092405906,3.1354942159291497,3240000,7.496097345175956,6930000,39600,567000000,174.90283176013327,78.26086956521739
21,0.0014465732287514466,0.00016073035875016072,1992,68000,2445,2222,34,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1942.857142857143,1156,11.127277689932466,3.5553480614894135,5978025,7.802209316247118,2312000,83130,166260000,27.800490596892885,69.85714285714286
